userName,score,content
Pengguna Google,5,sangat cocok untuk aku yang suka dengerin lagu 🤝🏻👑❤️💝
Pengguna Google,5,bagussss
Pengguna Google,5,bagus utk semua dengarin musik
Pengguna Google,5,good
Pengguna Google,5,Bagus
Pengguna Google,4,"over all app bagus bngt, semua lagu adaa. tapii lirik nya kadang muncul kadang gaada, itu ajaa sii. tolong di perbaiki lg"
Pengguna Google,5,y asik bisa denger lagu
Pengguna Google,5,aplikasinya mantap bisa cari lagu sesuka hati yg lagi trend juga bisa pokok nya aplikasi nya mantap GK ada bug sama sekali kok 💪😁
Pengguna Google,1,kenapa harus berlangganan tolol
Pengguna Google,5,mantap
Pengguna Google,5,sukaa
Pengguna Google,5,cocok untuk didengar
Pengguna Google,5,sigma
Pengguna Google,5,menemani kesempurnaan perjalanan mudik kami
Pengguna Google,5,keren
Pengguna Google,5,"suara bersih bening dan tidak ""dipaksa"" harus ambil premium/berbayar"
Pengguna Google,2,mksih
Pengguna Google,2,"saya coba coba login di tab via nomor, trus ada wa dari2 dua nomor wa bisnis berbeda ngirim otp, karna ga sadar saya masukin otp dari wa bernama prima otp dan berhasil masuk. otp yg wa spotify kirim dan dia kirim beda tapi sama2 bisa login, apakah dia vendor atau apa? apakah akun saya aman?"
Pengguna Google,5,Aplikasi Yang Selalu Wajib Ada Untuk Disetiap HP Saya. Semua Musik Yang Saya Suka Ada Semuanya Di Spotify
Pengguna Google,5,sangat bagus
Pengguna Google,5,mantap
Pengguna Google,1,masa diulang ulang terus sih download ny
Pengguna Google,5,mghbur
Pengguna Google,5,semua lagu ada jadul terkini mantap..
Pengguna Google,1,bintang 1 karna SPOTIFY MINI NYA GAADA MARAH BESAR AKU!!!😡😡
Pengguna Google,5,apk yg sangat amatt baguss
Pengguna Google,5,Nice 👍🏻👍🏻 aku suka banget soalnya nggak ada iklan
Pengguna Google,5,nice
Pengguna Google,1,"smart shufflenya gak jelas, lagu yang jelas beda genrenya malah ke lagu yang beda banget."
Pengguna Google,3,"ya ampun kenapa paket mini mingguan di hapus, aku sering banget pake paket itu 🥲"
Pengguna Google,5,lebih mudah cari lagunya
Pengguna Google,5,lagi lagi di sini sangat bagus dan bisa didengar siapa pun dan banyak lagi yang bisa kita cari di aplikasi ini
Pengguna Google,1,Aplikasi pelit! perampok! masa dengerin musik dari file sendiri aja harus pake premium?! dasar sampah!
Pengguna Google,5,goooddddd
Pengguna Google,5,mantap.. 👍
Pengguna Google,1,konyol
Pengguna Google,5,ok
Pengguna Google,1,Noob
Pengguna Google,5,dua jempol
Pengguna Google,5,Baguss Aplikasi nyaa aku SUKAAA²
Pengguna Google,5,bagus banget
Pengguna Google,5,"spotify, sangat bagus tidak ada iklan dan tidak ada permosi barang apa pun, terimakasih Spotify"
Pengguna Google,5,nice aplication
Pengguna Google,2,"liriknya ngga ada, apakah ngebug? padahal dari dulu pake aplikasi ini ada liriknya sekarang malah ngga ada"
Pengguna Google,5,gampang mencari lagu
Pengguna Google,3,halo...... Spotify sudah tidak ada premium mingguan?? kenapa??? padahal saya suka yang mingguan......terimakasih
Pengguna Google,4,nice
Pengguna Google,5,so far so good
Pengguna Google,5,"sangat membantu untuk mencari lagu favorit,sangat bagus dan dibutuhkan."
Pengguna Google,5,bagus
Pengguna Google,1,lah spotify yang 12RB ga ada lagi kah?...kecewa ni mah spotify_-
Pengguna Google,5,"Lagunya gampang di cari,, bisa sambil ngobrol dengan teman.... bagus lah pokoknya"
Pengguna Google,1,Bututt
Pengguna Google,5,👍
Pengguna Google,4,sangat bagus
Pengguna Google,5,ˢᵖᵒᵗⁱᶠʸ ˢᵃⁿᵍᵃᵗ ᵇᵃⁿᵍᵘˢ
Pengguna Google,5,mantap
Pengguna Google,5,bagus mantap
Pengguna Google,5,kerenn
Pengguna Google,5,aplikasi bagus emang banyak lagu tapi nggak collab sama redmi apa ya jadi nggak muncul di HP gue
Pengguna Google,2,ini kalian pihak spotify mau meras duit kita apa gimana? jangan semua di pakein premium bisa gak? masa mutar musik bebas aja harus beli premium dulu...kalo masih iklan gak papa deh asal bisa bebas milih musik... kalo kalian gini mah bakal makin banyak yang protes.. JANGAN PELIT NAPA JADI ORANG😒😒
Pengguna Google,5,bagus banget mana gak ada iklan lagi
Pengguna Google,2,"tiap 1 lagu iklan mlu, mending klo bentar ini lama"
Pengguna Google,4,"knapa hrs ad iklan cb? klw gk ad iklan aku kasih bintang 5dehh, tolong jangan ada iklan 😭😭🙏🏻"
Pengguna Google,5,suara jernih...koleksi lagunya komplit...mantap pokoknya..makasih..
Pengguna Google,5,good boy
Pengguna Google,4,banyak iklan dan juga premium
Pengguna Google,1,knp premium perminggu di hapus? padahal saya juga bayar belinya.
Pengguna Google,5,sangat bagus mantap
Pengguna Google,3,Spotify now: listening music❌ listening ads✔️ hell nahh
Pengguna Google,5,mantab!!! 🥳👍🎉🎊
Pengguna Google,1,"i haven't slept with only a 1 hour sleep timer. make it more longer, like 3-5 hours"
Pengguna Google,3,bnyk iklan
Pengguna Google,2,bagus
Pengguna Google,5,"tambahin lagi buat coba premium gratis,dan gausah dikasih batasan buat pilih musik, sistem acaknya gak masalah si"
Pengguna Google,5,sangat enak bangettt
Pengguna Google,5,epep
Pengguna Google,5,good apk
Pengguna Google,5,aplikasi musik terbaik
Pengguna Google,1,tak seasik dulu
Pengguna Google,5,seru apalagi sambil galau
Pengguna Google,5,my fav apk
Pengguna Google,1,"ini seriusan sudah tidak ada paketan premium yg 10.700 ? kenapa di hapus padahal belum orang bisa daftar paket yang 50k lebih -_- mohon di pertimbangkan kembali lagi dong!! sayang bgt kalah kyk gini, sungguh kecewa saya!!"
Pengguna Google,4,nice
Pengguna Google,1,tolong iklan di spotify jangan yg serem soalnya saya lagi sendirian dan lagi denger musik di spotify tiba tiba ada iklan serem jadi saya Truman dan tidak akn menggunakan apk ini lagi
Pengguna Google,1,"ayolah Spotify, dikit² premium mau denger dengan pilihan sendiri premium kecewa jujur."
Pengguna Google,2,kok dah gabisa prem yg 10rb an/bln ya????????
Pengguna Google,5,bagus
Pengguna Google,5,Idk
Pengguna Google,4,bagus tapi kok lagu yang aku mau itu dikit banget dari pada dulu
Pengguna Google,5,bagus👌
Pengguna Google,5,karna banyak lagu sadnya
Pengguna Google,5,Spotify memang aplikasi musik yang sangat bagus 👍👍👍
Pengguna Google,5,saya cukup puas karena saya bisa mencari doksli sound meme
Pengguna Google,5,"bagus aplikasinyaaa, aku sukaa.. cocok buat dengerin lagu laguu❤️✨"
Pengguna Google,5,keren aku suka
Pengguna Google,5,karena aku fans barca
Pengguna Google,3,ok
Pengguna Google,5,bisa menjadi senjata ku saat mode sad
Pengguna Google,5,Kane abis
Pengguna Google,2,"sorry banget, rekomendasi spotify sekarang ngaco banget dah, gw udah coba segala cara agar genre lagu yang ga gw suka ga muncul malah muncul terus, tolong dong spotify fitur rekomendasi nya lebih diupgrade bukan malah down grade, kalau ga bisa diupgrade tambahkan aja fitur block lagu genre ini"
Pengguna Google,5,bagus banget pilihan lagunya jg banyak
Pengguna Google,5,"entah kenapa,aku suka Spotify 💗"
Pengguna Google,5,di atas ekspektasi
Pengguna Google,5,bagus
Pengguna Google,4,"lagi enak-enaknya denger lagu pakai headset tiba-tiba ad iklan pocong,mana lagi malam lagi"
Pengguna Google,5,Sangat Bagus
Pengguna Google,1,Baru juga di download tapi udah nge crash tolong di perbaiki ya saya mau dengerin lagu mala gak bisa kecewa sih padahal udah lama pengen dengerin lagu tolong di perbaiki ya min
Pengguna Google,5,sukaaa serkng udah ga seenaknya liriknyaa
Pengguna Google,5,Sangat puas & lengkap sesuai keinginan lagu yang diminati
Pengguna Google,5,sangat keren🗿👍🏼
Pengguna Google,4,"ok.,🍻"
Pengguna Google,5,enak untuk mendengar kan laguu
Pengguna Google,5,mantap
Pengguna Google,5,untuk lagu nya udah 98% lengkap dan kalo bisa Prem nya murahin
Pengguna Google,5,sangar
Pengguna Google,1,"parah makin hari makin pelit, mau dengerin 1 lagu aja di batasin perhari, mending pindah ke youtube musik aja"
Pengguna Google,5,sangat bagus sekali untuk hiburan 👍👍👍
Pengguna Google,1,"kenapa kalo pake data selalu ada tulisan tidak ada koneksi,padahl jaringan bagus,dan harus di pancing dulu dengan wifi"
Pengguna Google,5,good
Pengguna Google,1,"spotify kenapa skrng setiap milih lagu gabisa selalu iklan tapi iklan nya ga jalan (ngestuck)jadi item aja,jadi nya harus kluar dulu, tolong diperbaiki"
Pengguna Google,1,sangat bagus
Pengguna Google,1,"lagu' nya rusak , tak bermoral"
Pengguna Google,4,masih sering mati sendiri
Pengguna Google,1,lagu yang udah di download kenapa hilang ya
Pengguna Google,5,saya suka aplikasi ini
Pengguna Google,5,sangat menyenangkan
Pengguna Google,5,apk musik best
Pengguna Google,5,bisa mengenang masa remaja dg enjoi
Pengguna Google,3,kenapa sekarang Spotify nggk bisa menampilkan lirik lagu ya?
Pengguna Google,5,"mantap Musik"" nya"
